,count,mean,std,min,25%,50%,75%,max
CNT_CHILDREN,307511.0,0.4170517477423572,0.7221213844389559,0.0,0.0,0.0,1.0,19.0
AMT_INCOME_TOTAL,307511.0,168797.9192969845,237123.14627883647,25650.0,112500.0,147150.0,202500.0,117000000.0
AMT_CREDIT,307511.0,599025.9997057016,402490.776995946,45000.0,270000.0,513531.0,808650.0,4050000.0
AMT_ANNUITY,307499.0,27108.573909183444,14493.737315117392,1615.5,16524.0,24903.0,34596.0,258025.5
AMT_GOODS_PRICE,307233.0,538396.2074288895,369446.4605400129,40500.0,238500.0,450000.0,679500.0,4050000.0
REGION_POPULATION_RELATIVE,307511.0,0.020868112057780035,0.013831280122699869,0.00029,0.010006,0.01885,0.028663,0.072508
DAYS_BIRTH,307511.0,-16036.995066843137,4363.988631785526,-25229.0,-19682.0,-15750.0,-12413.0,-7489.0
DAYS_EMPLOYED,307511.0,63815.04590404896,141275.7665186621,-17912.0,-2760.0,-1213.0,-289.0,365243.0
DAYS_REGISTRATION,307511.0,-4986.120327538419,3522.88632096305,-24672.0,-7479.5,-4504.0,-2010.0,0.0
DAYS_ID_PUBLISH,307511.0,-2994.2023732484367,1509.450419003031,-7197.0,-4299.0,-3254.0,-1720.0,0.0
OWN_CAR_AGE,104582.0,12.061090818687727,11.944811582242346,0.0,5.0,9.0,15.0,91.0
FLAG_MOBIL,307511.0,0.9999967480838083,0.0018033070153584427,0.0,1.0,1.0,1.0,1.0
FLAG_EMP_PHONE,307511.0,0.8198893698111612,0.38428019893910226,0.0,1.0,1.0,1.0,1.0
FLAG_WORK_PHONE,307511.0,0.1993684778755882,0.399526228149481,0.0,0.0,0.0,0.0,1.0
FLAG_CONT_MOBILE,307511.0,0.9981334001060125,0.04316389414260104,0.0,1.0,1.0,1.0,1.0
FLAG_PHONE,307511.0,0.28106636835755466,0.44952054685618487,0.0,0.0,0.0,1.0,1.0
FLAG_EMAIL,307511.0,0.0567199222141647,0.23130703972354083,0.0,0.0,0.0,0.0,1.0
CNT_FAM_MEMBERS,307509.0,2.152665450442101,0.9106815691773334,1.0,2.0,2.0,3.0,20.0
REGION_RATING_CLIENT,307511.0,2.0524631639193394,0.5090339028159309,1.0,2.0,2.0,2.0,3.0
REGION_RATING_CLIENT_W_CITY,307511.0,2.031520823645333,0.5027370329151815,1.0,2.0,2.0,2.0,3.0
HOUR_APPR_PROCESS_START,307511.0,12.063418869568894,3.265832255439005,0.0,10.0,12.0,14.0,23.0
REG_REGION_NOT_LIVE_REGION,307511.0,0.015144173704355291,0.1221264762820422,0.0,0.0,0.0,0.0,1.0
REG_REGION_NOT_WORK_REGION,307511.0,0.05076891558350758,0.21952582879715415,0.0,0.0,0.0,0.0,1.0
LIVE_REGION_NOT_WORK_REGION,307511.0,0.04065870814377372,0.19749861882882908,0.0,0.0,0.0,0.0,1.0
REG_CITY_NOT_LIVE_CITY,307511.0,0.07817281333025486,0.26844377237329226,0.0,0.0,0.0,0.0,1.0
REG_CITY_NOT_WORK_CITY,307511.0,0.23045354475124466,0.42112383591502345,0.0,0.0,0.0,0.0,1.0
LIVE_CITY_NOT_WORK_CITY,307511.0,0.17955455252007246,0.38381661538643724,0.0,0.0,0.0,0.0,1.0
EXT_SOURCE_1,134133.0,0.5021298056566625,0.21106224927392558,0.0145681324124455,0.3340072886740926,0.5059979305057544,0.6750525982300696,0.962692770561306
EXT_SOURCE_2,306851.0,0.5143926741308462,0.1910601549849387,8.173616518884397e-08,0.3924574161782719,0.5659614260608526,0.6636170897493769,0.8549996664047012
EXT_SOURCE_3,246546.0,0.5108529061799658,0.19484436446376072,0.0005272652387098,0.3706496323299817,0.5352762504724826,0.6690566947824041,0.8960095494948396
APARTMENTS_AVG,151450.0,0.11744049917464508,0.10824029130030662,0.0,0.0577,0.0876,0.1485,1.0
BASEMENTAREA_AVG,127568.0,0.08844221905179982,0.08243815873569478,0.0,0.0442,0.0763,0.1122,1.0
YEARS_BEGINEXPLUATATION_AVG,157504.0,0.9777348581623325,0.05922331435835884,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BUILD_AVG,103023.0,0.752471432592722,0.11327992663225028,0.0,0.6872,0.7552,0.8232,1.0
COMMONAREA_AVG,92646.0,0.044620715411350736,0.0760357450504098,0.0,0.0078,0.0211,0.0515,1.0
ELEVATORS_AVG,143620.0,0.07894151232418883,0.13457600110026235,0.0,0.0,0.0,0.12,1.0
ENTRANCES_AVG,152683.0,0.1497246700680495,0.1000491207603038,0.0,0.069,0.1379,0.2069,1.0
FLOORSMAX_AVG,154491.0,0.22628190703665588,0.14464069954794426,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMIN_AVG,98869.0,0.23189350049054813,0.161380288800189,0.0,0.0833,0.2083,0.375,1.0
LANDAREA_AVG,124921.0,0.06633318417239695,0.0811836407017809,0.0,0.0187,0.0481,0.0856,1.0
LIVINGAPARTMENTS_AVG,97312.0,0.10077477495067412,0.09257613396049696,0.0,0.0504,0.0756,0.121,1.0
LIVINGAREA_AVG,153161.0,0.10739901933259771,0.11056452318371773,0.0,0.0453,0.0745,0.1299,1.0
NONLIVINGAPARTMENTS_AVG,93997.0,0.00880867261721119,0.047731662050336146,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAREA_AVG,137829.0,0.02835775707579683,0.06952318332120722,0.0,0.0,0.0036,0.0277,1.0
APARTMENTS_MODE,151450.0,0.11423100693298119,0.10793603908753796,0.0,0.0525,0.084,0.1439,1.0
BASEMENTAREA_MODE,127568.0,0.08754321224758557,0.08430717486923314,0.0,0.0407,0.0746,0.1124,1.0
YEARS_BEGINEXPLUATATION_MODE,157504.0,0.9770653729429093,0.06457543708049779,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BUILD_MODE,103023.0,0.7596373227337584,0.11011102734194693,0.0,0.6994,0.7648,0.8236,1.0
COMMONAREA_MODE,92646.0,0.042553137750145714,0.07444452253838403,0.0,0.0072,0.019,0.049,1.0
